見出し,電話,ファックス,住所,開館時間,休館日,催し名,区分,開催日,場所,対象,定員,費用,申込,備考
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,特別展「創立100周年記念　国画創作協力の全貌展」,展示,～12月16日（日）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立近代美術館,073-436-8690　,073-436-1337 ,〒640-8137　和歌山市吹上1-4-14,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,コレクション展2018－秋冬 和歌山ゆかりの作家たち／国展の版画,展示,～12月24日（振休）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立博物館,073-436-8671　,073-423-2468,〒640-8137　和歌山市吹上1-4-15,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,企画展「熊野と和歌浦」－きのくにの名所をたずねて－,展示,12月8日（土）～1月20日（日）,,,,,,66歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,モノづくり体験（ハニワ）,イベント,12月1日～3月2日の各土曜日（12月29日を除く）13:30～,,小学生以上,各回30人（先着順）,350円,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,ジュニア考古学研究発表会,イベント,12月16日（日）13:30～15:30,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立紀伊風土記の丘,073-471-6123　,073-471-6120 ,〒640-8301　和歌山市岩橋1411,9:00～16:30（入館は16:00まで）,休館／月曜（祝日の場合次の平日）,ジュニア考古学研究応募作品展,展示,12月18日（火）～1月14日（祝）,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立自然博物館,073-483-1777　,073-483-2721,〒642-0001　海南市船尾370-1,9:30～17:00（入館は16:30まで）,休館／月曜（祝日の場合次の平日）,サンタが大水槽にやってくる　潜水作業大公開,イベント,12月9・16日いずれも日曜11:00～12:00、14:00～15:00,,,,,,65歳以上、障害者、高校生以下、外国人留学生などは入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,中高生読書まつり(1)ビブリオバトル和歌山大会決勝戦(2)ビブリオバトル・POPコンクール表彰式,イベント,12月9日（日）12:30～16:15,,中学生以上 , 200人（先着順）,,,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,ボランティアによる「おはなし会」,イベント,12月15・22日、1月12日いずれも土曜14:00～1月5日（土）11:00～,,,,,,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,子どもと本の紀南ネット「おはなしまつり」,イベント,12月16日（日）10:30～14:30,情報交流センターBig・U（田辺市）,小学低学年以下 ,200人（先着順）,,,入場無料
県立図書館,073-436-9500　,073-436-9501,〒641-0051　和歌山市西高松1-7-38,閲覧室　平日10:00～19:00（土日祝は18:00まで）,休館／月曜（祝日の場合は次の平日）、毎月第2木曜,エントランスコンサート,イベント,1月11日（金）12:00～12:30,,,100人程度（先着順）,,,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,日曜体験教室(1)来年の干支を描こう！,イベント,12月16日（日）10:00～12:00、13:30～15:30,,小学生以上（小学生は保護者同伴）,各8人,"1,500円",事前申込,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,日曜体験教室(2)長く楽しめる寄せ植え教室,イベント,12月23日（祝）14:00～15:30,,小学生以上（小学生は保護者同伴）,20人,"2,500円",事前申込,入場無料
片男波公園万葉館,073-446-5553　,073-446-5554,〒641-0022　 和歌山市和歌浦南3-1700,9:00～17:00 （入館は16:30まで）,,日曜体験教室(3)かわいいうさぎさんを作ろう,イベント,1月13日（日）10:00～12:00、13:00～15:00,,小学生以上（小学生は保護者同伴）,各8人（先着順）,"1,500円 ",事前申込,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,冬の洋ラン展 ,展示,12月7日（金）～9日（日）,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,松ぼっくりで X’masツリーを作ろう,イベント,12月15日（土）・16日（日）,,,80人（先着順）,800円,事前申込,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,箏（こと）・初春コンサート,イベント,1月3日（木）,,,,,,入場無料
県植物公園緑花センター,0736-62-4029　,0736-63-2570 ,〒649-6211　岩出市東坂本672,9:00～17:00（入館は16:30まで）,休館／火曜（祝日の場合次の平日）,バラの手入れ教室,イベント,1月14日（祝）,,,36人（先着順）,300円 事前,事前申込,入場無料
県動物愛護センター,073-489-6500　,073-489-6504 ,〒640-1251　紀美野町国木原372,10:00～17:00　,休館／火曜,犬・猫の飼い方講習会及び譲渡会,イベント,(1)12月1日（土）・9日（日）・23日（祝）、1月10日（木）・13日（日）・27日（日）いずれも11:00～(2)12月12日（水）13:00～(3)12月21日（金）11:00～,(1)県動物愛護センター(2)橋本保健所(3)御坊保健所,,,"※譲渡を受けるには受講と、犬については狂犬病予防注射代2,640円が必要です。",,入場無料
